customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
6234-RAAPL;F;0;Y;1;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;3;No;Bank transfer (automatic);99.9;7251.7;No
6047-YHPVI;M;0;N;0;5;Yes;No;Fiber optic;No;No;No;No;No;No;1;Yes;Electronic check;69.7;316.9;Yes
6572-ADKRS;F;0;N;0;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;1;Yes;Credit card (automatic);74.8;3548.3;No
5380-WJKOV;M;0;N;0;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;1;Yes;Electronic check;106.35;3549.25;Yes
8168-UQWWF;F;0;N;0;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;1;Yes;Bank transfer (automatic);97.85;1105.4;Yes
8865-TNMNX;M;0;Y;1;10;Yes;No;DSL;No;Yes;No;No;No;No;2;No;Mailed check;49.55;475.7;No
9489-DEDVP;F;0;Y;1;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;3;Yes;Credit card (automatic);69.2;4872.35;No
9867-JCZSP;F;0;Y;1;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;No;Mailed check;20.75;418.25;No
4671-VJLCL;F;0;N;0;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;3;Yes;Credit card (automatic);79.85;4861.45;No
4080-IIARD;F;0;Y;0;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;1;Yes;Electronic check;76.2;981.45;No
3714-NTNFO;F;0;N;0;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;1;Yes;Electronic check;84.5;3906.7;No
5948-UJZLF;M;0;N;0;2;Yes;No;DSL;No;Yes;No;No;No;No;1;No;Mailed check;49.25;97;No
7760-OYPDY;F;0;N;0;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;1;Yes;Electronic check;80.65;144.15;Yes
7639-LIAYI;M;0;N;0;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;3;Yes;Credit card (automatic);79.75;4217.8;No
2954-PIBKO;F;0;Y;1;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;3;Yes;Credit card (automatic);64.15;4254.1;No
8012-SOUDQ;F;1;N;0;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;1;Yes;Electronic check;90.25;3838.75;No
9420-LOJKX;F;0;N;0;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;1;Yes;Credit card (automatic);99.1;1426.4;Yes
6575-SUVOI;F;1;Y;0;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;1;Yes;Credit card (automatic);69.5;1752.65;No
7495-OOKFY;F;1;Y;0;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;1;Yes;Credit card (automatic);80.65;633.3;Yes
4667-QONEA;F;1;Y;1;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;2;Yes;Credit card (automatic);74.85;4456.35;No
1658-BYGOY;M;1;N;0;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;1;Yes;Electronic check;95.45;1752.55;Yes
8769-KKTPH;F;0;Y;1;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;2;Yes;Credit card (automatic);99.65;6311.2;No
5067-XJQFU;M;1;Y;1;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;2;Yes;Electronic check;108.45;7076.35;No
3957-SQXML;F;0;Y;1;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Credit card (automatic);24.95;894.3;No
5954-BDFSG;F;0;N;0;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;3;Yes;Credit card (automatic);107.5;7853.7;No
0434-CSFON;F;0;Y;0;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;1;Yes;Electronic check;100.5;4707.1;No
1215-FIGMP;M;0;N;0;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;1;Yes;Bank transfer (automatic);89.9;5450.7;No
0526-SXDJP;M;0;Y;0;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;3;No;Bank transfer (automatic);42.1;2962;No
0557-ASKVU;F;0;Y;1;18;Yes;No;DSL;No;No;Yes;Yes;No;No;2;Yes;Credit card (automatic);54.4;957.1;No
5698-BQJOH;F;0;N;0;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;1;No;Electronic check;94.4;857.25;Yes
5122-CYFXA;F;0;N;0;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;1;Yes;Electronic check;75.3;244.1;No
8627-ZYGSZ;M;0;Y;0;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;2;Yes;Electronic check;78.9;3650.35;No
3410-YOQBQ;F;0;N;0;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;3;No;Mailed check;79.2;2497.2;No
3170-NMYVV;F;0;Y;1;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Bank transfer (automatic);20.15;930.9;No
7410-OIEDU;M;0;N;0;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;1;Yes;Mailed check;79.85;887.35;No
2273-QCKXA;M;0;N;0;1;Yes;No;DSL;No;No;No;Yes;No;No;1;No;Mailed check;49.05;49.05;No
0731-EBJQB;F;0;Y;1;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;Yes;Electronic check;20.4;1090.65;No
1891-QRQSA;M;1;Y;1;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;3;Yes;Bank transfer (automatic);111.6;7099;No
8028-PNXHQ;M;0;Y;1;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;Yes;Bank transfer (automatic);24.25;1424.6;No
5630-AHZIL;F;0;N;1;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;1;Yes;Bank transfer (automatic);64.5;177.4;No
2673-CXQEU;F;1;N;0;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;2;No;Electronic check;110.5;6139.5;No
6416-JNVRK;F;0;N;0;46;Yes;No;DSL;No;No;No;No;No;Yes;2;No;Credit card (automatic);55.65;2688.85;No
5590-ZSKRV;F;0;Y;1;8;Yes;No;DSL;Yes;Yes;No;No;No;No;1;No;Mailed check;54.65;482.25;No
0191-ZHSKZ;M;1;N;0;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;1;Yes;Electronic check;74.75;2111.3;No
3887-PBQAO;F;0;Y;1;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;Yes;Credit card (automatic);25.9;1216.6;No
5919-TMRGD;F;0;N;1;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;1;Yes;Electronic check;79.35;79.35;Yes
8108-UXRQN;F;0;Y;1;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;1;No;Electronic check;50.55;565.35;No
9191-MYQKX;F;0;Y;0;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;1;Yes;Bank transfer (automatic);75.15;496.9;Yes
9919-YLNNG;F;0;N;0;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;1;Yes;Bank transfer (automatic);103.8;4327.5;No
0318-ZOPWS;F;0;Y;0;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;Yes;Bank transfer (automatic);20.15;973.35;No
4445-ZJNMU;M;0;N;0;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;1;Yes;Credit card (automatic);99.3;918.75;No
4808-YNLEU;F;0;Y;0;35;Yes;No;DSL;Yes;No;No;No;Yes;No;2;Yes;Bank transfer (automatic);62.15;2215.45;No
1862-QRWPE;F;0;Y;1;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Bank transfer (automatic);20.65;1057;No
2796-NNUFI;F;0;Y;1;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;Yes;Mailed check;19.95;927.1;No
3016-KSVCP;M;0;Y;0;29;No;No phone service;DSL;No;No;No;No;Yes;No;1;No;Mailed check;33.75;1009.25;No
4767-HZZHQ;M;0;Y;1;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;1;No;Bank transfer (automatic);82.05;2570.2;No
2424-WVHPL;M;1;N;0;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;1;No;Electronic check;74.7;74.7;No
7233-PAHHL;M;0;Y;1;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;3;Yes;Mailed check;84;5714.25;No
6067-NGCEU;F;0;N;0;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;1;Yes;Credit card (automatic);111.05;7107;No
9848-JQJTX;M;0;N;0;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;3;Yes;Bank transfer (automatic);100.9;7459.05;No
8637-XJIVR;F;0;N;0;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;1;Yes;Electronic check;78.95;927.35;Yes
9803-FTJCG;M;0;Y;1;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;2;Yes;Credit card (automatic);66.85;4748.7;No
0278-YXOOG;M;0;N;0;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Mailed check;21.05;113.85;Yes
3212-KXOCR;M;0;N;0;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Bank transfer (automatic);21;1107.2;No
4598-XLKNJ;F;1;Y;0;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;1;Yes;Electronic check;98.5;2514.5;Yes
6380-ARCEH;M;0;N;0;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Mailed check;20.2;20.2;No
3679-XASPY;F;0;Y;1;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Electronic check;19.45;19.45;No
7123-WQUHX;M;0;N;0;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;2;No;Bank transfer (automatic);95;3605.6;No
5386-THSLQ;F;1;Y;0;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;2;No;Bank transfer (automatic);45.55;3027.25;No
3192-NQECA;M;0;Y;0;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;3;Yes;Bank transfer (automatic);110;7611.85;Yes
6180-YBIQI;M;0;N;0;5;No;No phone service;DSL;No;No;No;No;No;No;1;No;Mailed check;24.3;100.2;No
6728-DKUCO;F;0;Y;1;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;2;Yes;Electronic check;104.15;7303.05;No
9750-BOOHV;F;0;N;0;32;No;No phone service;DSL;Yes;No;No;No;No;No;2;No;Mailed check;30.15;927.65;No
8597-CWYHH;M;0;N;0;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;2;No;Mailed check;94.35;3921.3;No
2848-YXSMW;M;0;Y;1;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Credit card (automatic);19.4;1363.25;No
0486-HECZI;M;0;Y;0;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;1;Yes;Electronic check;96.75;5238.9;Yes
4549-ZDQYY;F;0;N;0;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;2;No;Credit card (automatic);57.95;3042.25;No
5712-AHQNN;F;0;N;0;43;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;1;Yes;Electronic check;91.65;3954.1;No
4846-WHAFZ;F;1;Y;0;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;1;Yes;Electronic check;76.5;2868.15;Yes
5256-SKJGO;F;0;Y;1;64;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;3;Yes;Electronic check;54.6;3423.5;No
3071-VBYPO;M;0;Y;1;3;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;1;No;Electronic check;89.85;248.4;No
9560-BBZXK;F;0;N;0;36;No;No phone service;DSL;Yes;No;No;No;No;No;3;No;Bank transfer (automatic);31.05;1126.35;No
5299-RULOA;F;0;Y;1;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;1;Yes;Electronic check;100.25;1064.65;Yes
8402-OOOHJ;F;0;N;0;41;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Mailed check;20.65;835.15;No
9445-ZUEQE;M;0;Y;1;27;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;1;Yes;Credit card (automatic);85.2;2151.6;No
1091-SOZGA;F;0;Y;1;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;2;Yes;Credit card (automatic);99.8;5515.45;No
2928-HLDBA;F;0;N;0;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Mailed check;20.7;112.75;No
0404-SWRVG;M;0;N;0;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;1;Yes;Electronic check;74.4;229.55;Yes
6497-TILVL;F;0;Y;1;7;Yes;No;DSL;Yes;No;No;No;No;No;1;No;Mailed check;50.7;350.35;No
7219-TLZHO;F;0;Y;1;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Mailed check;20.85;62.9;No
4622-YNKIJ;M;0;N;0;33;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;3;Yes;Electronic check;88.95;3027.65;No
4412-YLTKF;F;1;N;0;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;1;Yes;Electronic check;78.05;2135.5;Yes
6734-PSBAW;M;0;Y;0;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;Yes;Bank transfer (automatic);23.55;1723.95;No
3930-ZGWVE;M;0;N;0;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Mailed check;19.75;19.75;No
2639-UGMAZ;M;1;N;0;71;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;2;Yes;Electronic check;56.45;3985.35;No
2876-GZYZC;F;0;N;0;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;1;Yes;Electronic check;85.95;1215.65;No
6207-WIOLX;F;0;Y;1;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;1;Yes;Credit card (automatic);58.6;1502.65;Yes
8587-XYZSF;M;0;N;0;67;Yes;No;DSL;No;No;No;Yes;No;No;3;No;Bank transfer (automatic);50.55;3260.1;No
3091-FYHKI;M;0;N;0;1;No;No phone service;DSL;No;No;No;No;No;Yes;1;Yes;Electronic check;35.45;35.45;Yes
2372-HWUHI;M;0;N;0;2;Yes;No;DSL;No;No;No;No;No;No;1;No;Electronic check;44.35;81.25;Yes
7799-LGRDP;F;0;N;0;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;Yes;Credit card (automatic);25.7;1188.2;No
7850-VWJUU;F;0;N;0;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;1;Yes;Bank transfer (automatic);75;1778.5;No
3774-VBNXY;F;0;Y;1;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Mailed check;20.2;1277.75;No
6217-KDYWC;M;0;N;1;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;Yes;Mailed check;19.6;1170.55;No
0390-DCFDQ;F;1;Y;0;1;Yes;No;Fiber optic;No;No;No;No;No;No;1;Yes;Mailed check;70.45;70.45;Yes
3146-MSEGF;F;1;Y;1;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;3;Yes;Credit card (automatic);88.05;6425.65;No
4080-OGPJL;F;0;N;0;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;1;No;Electronic check;71.15;563.65;Yes
1095-WGNGG;F;0;Y;0;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;3;Yes;Bank transfer (automatic);101.05;5971.25;No
2636-SJDOU;M;0;N;0;64;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;2;Yes;Credit card (automatic);84.3;5289.05;No
1131-QQZEB;M;1;Y;0;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Bank transfer (automatic);23.95;1756.2;No
5716-EZXZN;F;0;Y;1;65;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;3;Yes;Credit card (automatic);99.05;6416.7;No
6837-BJYDQ;M;0;N;0;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;No;Mailed check;19.6;61.35;No
2135-RXIHG;M;0;N;0;1;Yes;No;DSL;No;No;No;No;No;No;1;Yes;Electronic check;45.65;45.65;Yes
6440-DKQGE;M;0;N;1;30;Yes;No;DSL;No;Yes;Yes;No;Yes;No;2;No;Credit card (automatic);64.5;1929.95;No
3466-BYAVD;M;0;Y;1;15;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;1;Yes;Mailed check;69.5;1071.4;No
3780-YVMFA;F;0;Y;1;8;Yes;No;DSL;No;No;No;Yes;Yes;Yes;1;Yes;Electronic check;68.55;564.35;No
3874-EQOEP;M;0;N;0;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;1;No;Mailed check;95;655.5;Yes
1679-JRFBR;F;0;Y;1;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;2;Yes;Credit card (automatic);108.15;7930.55;No
9073-ZZIAY;M;0;Y;1;62;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;3;No;Electronic check;86.1;5215.25;No
3077-RSNTJ;F;0;Y;1;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Mailed check;19.7;113.5;No
6551-GNYDG;F;0;Y;1;14;Yes;No;Fiber optic;No;No;No;No;No;Yes;1;Yes;Bank transfer (automatic);80.9;1152.8;No
9167-APMXZ;F;0;N;0;22;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;1;Yes;Bank transfer (automatic);84.15;1821.95;No
2749-CTKAJ;M;0;Y;1;22;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;No;Mailed check;20.15;419.9;No
6371-NZYEG;M;0;Y;1;16;Yes;No;DSL;Yes;No;Yes;No;Yes;No;3;No;Mailed check;64.25;1024;No
7554-NEWDD;M;0;N;0;10;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Bank transfer (automatic);25.7;251.6;No
8992-VONJD;F;0;N;1;13;Yes;No;DSL;Yes;Yes;No;No;No;No;1;Yes;Electronic check;56;764.55;No
0867-MKZVY;F;0;Y;0;20;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;1;No;Electronic check;82.4;1592.35;Yes
4482-EWFMI;F;0;N;0;2;Yes;No;Fiber optic;No;No;No;No;No;No;1;Yes;Electronic check;69.7;135.2;No
4648-YPBTM;M;0;N;0;53;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;3;Yes;Bank transfer (automatic);73.9;3958.25;No
2907-ILJBN;F;0;Y;1;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;No;Mailed check;20.6;233.9;No
6345-FZOQH;M;0;Y;0;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Mailed check;19.9;1363.45;No
3376-BMGFE;F;0;N;0;4;Yes;No;Fiber optic;No;No;No;No;No;No;1;Yes;Bank transfer (automatic);70.9;273;Yes
5997-OPVFA;M;0;Y;0;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;3;Yes;Bank transfer (automatic);89.05;6254.45;No
3445-HXXGF;M;1;Y;0;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;1;Yes;Electronic check;45.3;2651.2;Yes
1159-WFSGR;F;0;Y;1;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Electronic check;20.4;321.4;No
7654-YWJUF;M;0;Y;0;43;Yes;No;Fiber optic;Yes;No;Yes;Yes;No;No;2;Yes;Bank transfer (automatic);84.25;3539.25;No
1875-QIVME;F;0;Y;0;2;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;1;Yes;Electronic check;104.4;242.8;Yes
6727-IOTLZ;M;0;Y;0;14;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;3;No;Mailed check;81.95;1181.75;No
0691-JVSYA;F;0;Y;0;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;2;Yes;Bank transfer (automatic);94.85;5000.2;Yes
5918-VUKWP;F;0;N;0;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;No;Bank transfer (automatic);20.55;654.55;No
1744-JHKYS;F;0;Y;0;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Electronic check;24.7;780.2;No
2656-FMOKZ;F;1;N;0;15;Yes;Yes;Fiber optic;No;No;No;No;No;No;1;Yes;Mailed check;74.45;1145.7;Yes
2070-FNEXE;F;1;N;0;7;Yes;No;Fiber optic;Yes;No;No;No;No;No;1;No;Bank transfer (automatic);76.45;503.6;Yes
5947-SGKCL;F;0;Y;1;15;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;1;Yes;Bank transfer (automatic);105.35;1559.25;No
3712-PKXZA;M;0;Y;0;61;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;Yes;Credit card (automatic);20.55;1252;No
6317-YPKDH;F;0;N;0;1;No;No phone service;DSL;No;Yes;No;No;No;No;1;No;Bank transfer (automatic);29.95;29.95;Yes
6582-OIVSP;F;0;N;0;1;Yes;No;DSL;No;No;No;No;No;No;1;No;Mailed check;45.3;45.3;No
9367-WXLCH;M;0;N;0;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;1;No;Bank transfer (automatic);84.5;662.65;Yes
